,Unnamed: 0,French,English
0,0,partie,part
1,1,chercher,search
2,2,seulement,only
3,4,pensais,thought
4,5,aide,help
5,6,demande,request
6,7,genre,kind
7,8,mois,month
8,9,frère,brother
9,10,laisser,let
10,11,car,because
11,12,mettre,to put
12,13,aucun,no
13,14,laisse,leash
14,15,eux,them
15,16,ville,city
16,17,chaque,each
17,18,parlé,speak
18,19,arrivé,come
19,20,devrait,should
20,22,heures,hours
21,23,vont,will
22,24,pendant,while
23,25,revoir,meet again
24,26,aucune,any
25,27,place,square
26,28,parle,speak
27,29,compris,understood
28,30,savais,knew
29,31,étaient,were
30,32,attention,Warning
31,33,voici,here is
32,34,pourrais,could
33,35,affaire,case
34,36,donner,give
35,37,type,type
36,38,leurs,their
37,39,donné,given
38,40,train,train
39,42,endroit,place
40,43,yeux,eyes
41,44,façon,way
42,45,écoute,listen
43,46,dont,whose
44,47,trouve,find
45,48,premier,first
46,49,perdu,lost
47,51,première,first
48,52,côté,side
49,53,pouvoir,power
50,54,vieux,old
51,55,sois,be
52,56,tiens,here
53,57,matin,morning
54,58,tellement,so much
55,59,enfant,child
56,60,point,point
57,61,venu,came
58,62,suite,after
59,63,venez,come
60,64,devant,in front of
61,65,vers,towards
62,66,minutes,minutes
63,67,demandé,request
64,68,chambre,bedroom
65,69,mis,placed
66,70,belle,beautiful
67,71,droit,law
68,72,aujourd'hui,today
69,73,mari,husband
70,74,cause,cause
71,75,enfin,finally
72,76,espère,hope
73,77,eau,water
74,78,attendez,Wait
75,79,parti,left
76,80,nouvelle,new
77,81,boulot,job
78,82,arrêter,Stop
79,83,dirait,would say
80,84,terre,Earth
81,85,compte,account
82,86,donne,given
83,87,loin,far
84,88,fin,end
85,90,gros,large
86,91,plutôt,rather
87,92,aura,will have
88,93,filles,girls
89,94,jouer,to play
90,95,bureau,office
